pathway,path,pval,pval_adj,'-log10(pval_adj),relative_enrichment,MiRNA_1,MiRNA_2,MiRNA_3,MiRNA_4,MiRNA_5,MiRNA_6,MiRNA_7,MiRNA_8,MiRNA_9,MiRNA_10,MiRNA_11,MiRNA_12,MiRNA_13,MiRNA_14,MiRNA_15,MiRNA_16,MiRNA_17,MiRNA_18
Fcgamma receptor (FCGR) dependent phagocytosis,,0.0027520734,0.0127755995,1.8936187109,2.6062992126,hsa-miR-424-5p, hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-101-3p, hsa-miR-376a-3p, hsa-miR-132-3p, hsa-miR-195-5p,,,,,,,,,
Transcriptional regulation by RUNX3,,0.0028346734,0.0129761857,1.8868529494,1.9124444444,hsa-miR-424-5p, hsa-miR-296-5p, hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-101-3p, hsa-miR-130b-3p, hsa-miR-132-3p, hsa-miR-195-5p,,,,,
Mitotic Anaphase,,0.002839936,0.0129761857,1.8868529494,3.258790436,hsa-miR-296-5p, hsa-miR-30c-5p, hsa-miR-92a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-132-3p, hsa-miR-195-5p,,,,,,,,,,,
Disease,,0.002805582,0.0129761857,1.8868529494,1.3791666667,hsa-miR-424-5p, hsa-miR-296-5p, hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-101-3p, hsa-miR-93-3p, hsa-miR-153-3p, hsa-miR-130b-3p, hsa-miR-376a-3p, hsa-miR-140-3p, hsa-miR-132-3p, hsa-miR-195-5p, hsa-miR-21-3p
Mitotic Metaphase and Anaphase,,0.002839936,0.0129761857,1.8868529494,3.258790436,hsa-miR-296-5p, hsa-miR-30c-5p, hsa-miR-92a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-132-3p, hsa-miR-195-5p,,,,,,,,,,,
ECM proteoglycans,,0.002839936,0.0129761857,1.8868529494,3.258790436,hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-101-3p, hsa-miR-130b-3p, hsa-miR-140-3p,,,,,,,,,,,
IRS-related events triggered by IGF1R,,0.0028498497,0.0129806631,1.8867031201,2.3727598566,hsa-miR-424-5p, hsa-miR-296-5p, hsa-miR-29b-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-101-3p, hsa-miR-130b-3p, hsa-miR-376a-3p, hsa-miR-195-5p,,,,,,,,
Metabolism of nucleotides,,0.0029037547,0.0130228464,1.8852940803,6.1296296296,hsa-miR-29b-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-130b-3p,,,,,,,,,,,,,,
Fibronectin matrix formation,,0.0029037547,0.0130228464,1.8852940803,6.1296296296,hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-130b-3p, hsa-miR-140-3p,,,,,,,,,,,,,,
Aberrant regulation of mitotic G1/S transition in cancer due to RB1 defects,,0.0029218499,0.0130228464,1.8852940803,2.1867867868,hsa-miR-424-5p, hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-101-3p, hsa-miR-376a-3p, hsa-miR-132-3p, hsa-miR-195-5p,,,,,,,
Signaling by FGFR,FGFR,0.0029172913,0.0130228464,1.8852940803,2.5859375,hsa-miR-424-5p, hsa-miR-296-5p, hsa-miR-29b-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-376a-3p, hsa-miR-132-3p, hsa-miR-195-5p,,,,,,,,,
Cell-Cell communication,,0.0029172913,0.0130228464,1.8852940803,2.5859375,hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-101-3p, hsa-miR-130b-3p, hsa-miR-376a-3p, hsa-miR-140-3p,,,,,,,,,
Neutrophil degranulation,,0.0029218499,0.0130228464,1.8852940803,2.1867867868,hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-101-3p, hsa-miR-153-3p, hsa-miR-140-3p, hsa-miR-132-3p, hsa-miR-195-5p,,,,,,,
Signaling by NODAL,,0.0029906982,0.0132261787,1.8785656139,2.8565264293,hsa-miR-424-5p, hsa-miR-30c-5p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-130b-3p, hsa-miR-376a-3p, hsa-miR-132-3p,,,,,,,,,,
Amplification of signal from the kinetochores,,0.0029947782,0.0132261787,1.8785656139,4.5972222222,hsa-miR-296-5p, hsa-miR-92a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-195-5p,,,,,,,,,,,,,
Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal,,0.0029947782,0.0132261787,1.8785656139,4.5972222222,hsa-miR-296-5p, hsa-miR-92a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-195-5p,,,,,,,,,,,,,
RHO GTPase Effectors,,0.0030657947,0.0134987872,1.8697052498,2.1750298686,hsa-miR-296-5p, hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-101-3p, hsa-miR-130b-3p, hsa-miR-132-3p, hsa-miR-195-5p,,,,,,,
NOTCH3 Intracellular Domain Regulates Transcription,NOTCH,0.003098781,0.0135618336,1.8676815895,3.7401129944,hsa-miR-296-5p, hsa-miR-30c-5p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-30b-5p, hsa-miR-101-3p,,,,,,,,,,,,
RHO GTPases activate IQGAPs,,0.003098781,0.0135618336,1.8676815895,3.7401129944,hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-214-3p, hsa-miR-101-3p, hsa-miR-195-5p,,,,,,,,,,,,
MAP2K and MAPK activation,,0.0031904463,0.0136904055,1.8635836878,2.8290598291,hsa-miR-424-5p, hsa-miR-29b-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-101-3p, hsa-miR-140-3p, hsa-miR-132-3p, hsa-miR-195-5p,,,,,,,,,,
Signaling by Receptor Tyrosine Kinases,,0.0031574798,0.0136904055,1.8635836878,1.5775990468,hsa-miR-424-5p, hsa-miR-296-5p, hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-101-3p, hsa-miR-130b-3p, hsa-miR-376a-3p, hsa-miR-140-3p, hsa-miR-132-3p, hsa-miR-195-5p, hsa-miR-21-3p,,
RUNX3 regulates p14-ARF,,0.0031904463,0.0136904055,1.8635836878,2.8290598291,hsa-miR-424-5p, hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-19a-3p, hsa-miR-16-5p, hsa-miR-101-3p, hsa-miR-130b-3p, hsa-miR-195-5p,,,,,,,,,,
Gain-of-function MRAS complexes activate RAF signaling,,0.0031941139,0.0136904055,1.8635836878,9.1944444444,hsa-miR-16-5p, hsa-miR-132-3p, hsa-miR-195-5p,,,,,,,,,,,,,,,
Signaling by MRAS-complex mutants,,0.0031941139,0.0136904055,1.8635836878,9.1944444444,hsa-miR-16-5p, hsa-miR-132-3p, hsa-miR-195-5p,,,,,,,,,,,,,,,
SHOC2 M1731 mutant abolishes MRAS complex function,,0.0031941139,0.0136904055,1.8635836878,9.1944444444,hsa-miR-16-5p, hsa-miR-132-3p, hsa-miR-195-5p,,,,,,,,,,,,,,,
Signaling by high-kinase activity BRAF mutants,,0.0031904463,0.0136904055,1.8635836878,2.8290598291,hsa-miR-424-5p, hsa-miR-29b-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-101-3p, hsa-miR-140-3p, hsa-miR-132-3p, hsa-miR-195-5p,,,,,,,,,,
Meiosis,,0.0032989898,0.01409833,1.8508323281,3.1783264746,hsa-miR-30c-5p, hsa-miR-92a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-101-3p, hsa-miR-376a-3p, hsa-miR-195-5p,,,,,,,,,,,
p53-Independent DNA Damage Response,,0.0033974237,0.0141585118,1.8489823941,5.8844444444,hsa-miR-424-5p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-195-5p,,,,,,,,,,,,,,
RUNX3 regulates WNT signaling,,0.0034007712,0.0141585118,1.8489823941,2.8021164021,hsa-miR-424-5p, hsa-miR-29b-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-101-3p, hsa-miR-130b-3p, hsa-miR-195-5p,,,,,,,,,,
p53-Independent G1/S DNA damage checkpoint,,0.0033974237,0.0141585118,1.8489823941,5.8844444444,hsa-miR-424-5p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-195-5p,,,,,,,,,,,,,,
Diseases of mitotic cell cycle,,0.003371702,0.0141585118,1.8489823941,2.151891253,hsa-miR-424-5p, hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-101-3p, hsa-miR-376a-3p, hsa-miR-132-3p, hsa-miR-195-5p,,,,,,,
Ubiquitin Mediated Degradation of Phosphorylated Cdc25A,,0.0033974237,0.0141585118,1.8489823941,5.8844444444,hsa-miR-424-5p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-195-5p,,,,,,,,,,,,,,
GP1b-IX-V activation signalling,,0.0033529218,0.0141585118,1.8489823941,4.4850948509,hsa-miR-29b-3p, hsa-miR-16-5p, hsa-miR-376a-3p, hsa-miR-132-3p, hsa-miR-195-5p,,,,,,,,,,,,,
Aberrant regulation of mitotic cell cycle due to RB1 defects,,0.003371702,0.0141585118,1.8489823941,2.151891253,hsa-miR-424-5p, hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-101-3p, hsa-miR-376a-3p, hsa-miR-132-3p, hsa-miR-195-5p,,,,,,,
Regulation of TP53 Activity through Acetylation,,0.0034007712,0.0141585118,1.8489823941,2.8021164021,hsa-miR-296-5p, hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-30b-5p,,,,,,,,,,
FOXO-mediated transcription of oxidative stress,,0.0034007712,0.0141585118,1.8489823941,2.8021164021,hsa-miR-424-5p, hsa-miR-30c-5p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-30b-5p, hsa-miR-153-3p, hsa-miR-130b-3p, hsa-miR-132-3p,,,,,,,,,,
IGF1R signaling cascade,,0.003505793,0.0145125845,1.8382552387,2.3130677848,hsa-miR-424-5p, hsa-miR-296-5p, hsa-miR-29b-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-101-3p, hsa-miR-130b-3p, hsa-miR-376a-3p, hsa-miR-195-5p,,,,,,,,
Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R),,0.003505793,0.0145125845,1.8382552387,2.3130677848,hsa-miR-424-5p, hsa-miR-296-5p, hsa-miR-29b-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-101-3p, hsa-miR-130b-3p, hsa-miR-376a-3p, hsa-miR-195-5p,,,,,,,,
RAF activation,,0.0035493433,0.0145683496,1.836589645,3.1395663957,hsa-miR-424-5p, hsa-miR-30c-5p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-101-3p, hsa-miR-132-3p, hsa-miR-195-5p,,,,,,,,,,,
Reproduction,,0.0035493433,0.0145683496,1.836589645,3.1395663957,hsa-miR-30c-5p, hsa-miR-92a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-101-3p, hsa-miR-376a-3p, hsa-miR-195-5p,,,,,,,,,,,
RHOA GTPase cycle,,0.0035493433,0.0145683496,1.836589645,3.1395663957,hsa-miR-424-5p, hsa-miR-29b-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-101-3p, hsa-miR-376a-3p, hsa-miR-132-3p,,,,,,,,,,,
Signaling by NOTCH4,NOTCH,0.003661557,0.0149163006,1.826338874,2.5075757576,hsa-miR-424-5p, hsa-miR-296-5p, hsa-miR-30c-5p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-101-3p,,,,,,,,,
S Phase,,0.0036957111,0.0149163006,1.826338874,1.987987988,hsa-miR-424-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-101-3p, hsa-miR-130b-3p, hsa-miR-376a-3p, hsa-miR-132-3p, hsa-miR-195-5p,,,,,,
TP53 Regulates Transcription of Caspase Activators and Caspases,,0.0036936029,0.0149163006,1.826338874,3.6174863388,hsa-miR-30c-5p, hsa-miR-92a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-101-3p,,,,,,,,,,,,
MET activates STAT3,JAK/STAT,0.0036936029,0.0149163006,1.826338874,3.6174863388,hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-16-5p, hsa-miR-101-3p, hsa-miR-130b-3p, hsa-miR-21-3p,,,,,,,,,,,,
Activation of BH3-only proteins,,0.0036880191,0.0149163006,1.826338874,2.2986111111,hsa-miR-296-5p, hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-153-3p, hsa-miR-195-5p,,,,,,,,
Signaling by EGFR,,0.003661557,0.0149163006,1.826338874,2.5075757576,hsa-miR-296-5p, hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-376a-3p, hsa-miR-132-3p, hsa-miR-195-5p,,,,,,,,,
TNFR2 non-canonical NF-kB pathway,,0.0037414756,0.0150175803,1.8234000364,4.3783068783,hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-195-5p, hsa-miR-21-3p,,,,,,,,,,,,,
EML4 and NUDC in mitotic spindle formation,,0.0037414756,0.0150175803,1.8234000364,4.3783068783,hsa-miR-296-5p, hsa-miR-92a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-195-5p,,,,,,,,,,,,,
Immune System,,0.0037980711,0.0151609815,1.8192726824,1.356557377,hsa-miR-424-5p, hsa-miR-296-5p, hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-101-3p, hsa-miR-93-3p, hsa-miR-153-3p, hsa-miR-130b-3p, hsa-miR-376a-3p, hsa-miR-140-3p, hsa-miR-132-3p, hsa-miR-195-5p, hsa-miR-21-3p
Signaling by WNT,,0.0037978333,0.0151609815,1.8192726824,1.8603545179,hsa-miR-424-5p, hsa-miR-296-5p, hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-101-3p, hsa-miR-130b-3p, hsa-miR-376a-3p, hsa-miR-132-3p, hsa-miR-195-5p,,,,,
Synthesis of IP3 and IP4 in the cytosol,,0.0038143385,0.0151842024,1.8186080156,3.1017402945,hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-153-3p, hsa-miR-130b-3p, hsa-miR-21-3p,,,,,,,,,,,
DNA Replication,,0.0040992523,0.0157156032,1.8036689451,2.7242798354,hsa-miR-424-5p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-130b-3p, hsa-miR-376a-3p, hsa-miR-132-3p, hsa-miR-195-5p,,,,,,,,,,
GPVI-mediated activation cascade,,0.004094556,0.0157156032,1.8036689451,3.0648148148,hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-19a-3p, hsa-miR-101-3p, hsa-miR-376a-3p, hsa-miR-132-3p, hsa-miR-195-5p,,,,,,,,,,,
Integrin cell surface interactions,,0.0040992523,0.0157156032,1.8036689451,2.7242798354,hsa-miR-296-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-16-5p, hsa-miR-101-3p, hsa-miR-130b-3p, hsa-miR-140-3p, hsa-miR-195-5p,,,,,,,,,,
RAC3 GTPase cycle,,0.004094556,0.0157156032,1.8036689451,3.0648148148,hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-214-3p, hsa-miR-130b-3p, hsa-miR-376a-3p, hsa-miR-132-3p, hsa-miR-195-5p,,,,,,,,,,,
Interleukin-38 signaling,Interleukin,0.0040613213,0.0157156032,1.8036689451,18.3888888889,hsa-miR-92a-3p, hsa-miR-214-3p,,,,,,,,,,,,,,,,
Biosynthesis of electrophilic ω-3 PUFA oxo-derivatives,,0.0040814516,0.0157156032,1.8036689451,8.4871794872,hsa-miR-19a-3p, hsa-miR-16-5p, hsa-miR-101-3p,,,,,,,,,,,,,,,
Biosynthesis of D-series resolvins,,0.0040613213,0.0157156032,1.8036689451,18.3888888889,hsa-miR-19a-3p, hsa-miR-21-3p,,,,,,,,,,,,,,,,
Purine ribonucleoside monophosphate biosynthesis,,0.0040613213,0.0157156032,1.8036689451,18.3888888889,hsa-miR-29b-3p, hsa-miR-19a-3p,,,,,,,,,,,,,,,,
Signaling by FGFR2 in disease,FGFR,0.004094556,0.0157156032,1.8036689451,3.0648148148,hsa-miR-424-5p, hsa-miR-29b-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-376a-3p, hsa-miR-195-5p,,,,,,,,,,,
STAT3 nuclear events downstream of ALK signaling,JAK/STAT,0.004094556,0.0157156032,1.8036689451,3.0648148148,hsa-miR-424-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-214-3p, hsa-miR-101-3p, hsa-miR-130b-3p, hsa-miR-21-3p,,,,,,,,,,,
SLC-mediated transmembrane transport,,0.0040217125,0.0157156032,1.8036689451,3.5591397849,hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-101-3p, hsa-miR-376a-3p, hsa-miR-132-3p, hsa-miR-195-5p,,,,,,,,,,,,
Nucleotide biosynthesis,,0.0040613213,0.0157156032,1.8036689451,18.3888888889,hsa-miR-29b-3p, hsa-miR-19a-3p,,,,,,,,,,,,,,,,
Nuclear signaling by ERBB4,,0.004094556,0.0157156032,1.8036689451,3.0648148148,hsa-miR-296-5p, hsa-miR-29b-3p, hsa-miR-19a-3p, hsa-miR-16-5p, hsa-miR-101-3p, hsa-miR-132-3p, hsa-miR-195-5p,,,,,,,,,,,
Biosynthesis of E-series 18(S)-resolvins,,0.0040613213,0.0157156032,1.8036689451,18.3888888889,hsa-miR-19a-3p, hsa-miR-21-3p,,,,,,,,,,,,,,,,
Negative regulators of DDX58/IFIH1 signaling,,0.0041619252,0.0159138876,1.7982237127,4.2764857881,hsa-miR-296-5p, hsa-miR-29b-3p, hsa-miR-19a-3p, hsa-miR-30b-5p, hsa-miR-130b-3p,,,,,,,,,,,,,
TGF-beta receptor signaling activates SMADs,,0.0043559686,0.0164420643,1.784043659,2.6992864424,hsa-miR-424-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-93-3p, hsa-miR-130b-3p, hsa-miR-132-3p, hsa-miR-195-5p,,,,,,,,,,
Signaling by FGFR3 in disease,FGFR,0.0043905856,0.0164420643,1.784043659,3.0287581699,hsa-miR-424-5p, hsa-miR-29b-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-376a-3p, hsa-miR-195-5p,,,,,,,,,,,
Myogenesis,,0.0043714658,0.0164420643,1.784043659,3.5026455026,hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-101-3p, hsa-miR-195-5p,,,,,,,,,,,,
Signaling by FGFR3 point mutants in cancer,FGFR,0.0043905856,0.0164420643,1.784043659,3.0287581699,hsa-miR-424-5p, hsa-miR-29b-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-376a-3p, hsa-miR-195-5p,,,,,,,,,,,
Cell junction organization,,0.0043905856,0.0164420643,1.784043659,3.0287581699,hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-101-3p, hsa-miR-130b-3p, hsa-miR-140-3p,,,,,,,,,,,
TP53 Regulates Transcription of Death Receptors and Ligands,Cell death,0.0043714658,0.0164420643,1.784043659,3.5026455026,hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-30b-5p,,,,,,,,,,,,
Pyroptosis,,0.0043905856,0.0164420643,1.784043659,3.0287581699,hsa-miR-30c-5p, hsa-miR-92a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-153-3p, hsa-miR-130b-3p,,,,,,,,,,,
Unfolded Protein Response (UPR),,0.0043714658,0.0164420643,1.784043659,3.5026455026,hsa-miR-424-5p, hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-30b-5p,,,,,,,,,,,,
Meiotic synapsis,,0.0045526514,0.016918165,1.7716467437,5.4485596708,hsa-miR-30c-5p, hsa-miR-92a-3p, hsa-miR-214-3p, hsa-miR-16-5p,,,,,,,,,,,,,,
G2/M DNA replication checkpoint,,0.0045526514,0.016918165,1.7716467437,5.4485596708,hsa-miR-424-5p, hsa-miR-16-5p, hsa-miR-132-3p, hsa-miR-195-5p,,,,,,,,,,,,,,
NF-kB activation through FADD/RIP-1 pathway mediated by caspase-8 and -10,,0.0045526514,0.016918165,1.7716467437,5.4485596708,hsa-miR-296-5p, hsa-miR-16-5p, hsa-miR-376a-3p, hsa-miR-195-5p,,,,,,,,,,,,,,
Signaling by FGFR4,FGFR,0.0046253418,0.0170574152,1.7680867786,2.6747474747,hsa-miR-424-5p, hsa-miR-29b-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-376a-3p, hsa-miR-132-3p, hsa-miR-195-5p,,,,,,,,,,
G0 and Early G1,,0.0046253418,0.0170574152,1.7680867786,2.6747474747,hsa-miR-424-5p, hsa-miR-29b-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-130b-3p, hsa-miR-376a-3p, hsa-miR-132-3p, hsa-miR-195-5p,,,,,,,,,,
Activated NTRK2 signals through PI3K,,0.004615762,0.0170574152,1.7680867786,4.1792929293,hsa-miR-29b-3p, hsa-miR-19a-3p, hsa-miR-16-5p, hsa-miR-376a-3p, hsa-miR-132-3p,,,,,,,,,,,,,
RUNX2 regulates genes involved in cell migration,,0.0047030263,0.0172128395,1.7641474814,2.9935400517,hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-195-5p,,,,,,,,,,,
Inositol phosphate metabolism,,0.0047030263,0.0172128395,1.7641474814,2.9935400517,hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-153-3p, hsa-miR-130b-3p, hsa-miR-21-3p,,,,,,,,,,,
Regulation of PTEN localization,,0.0047030263,0.0172128395,1.7641474814,2.9935400517,hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-153-3p, hsa-miR-130b-3p, hsa-miR-21-3p,,,,,,,,,,,
Leishmania infection,,0.0047210419,0.0172353615,1.7635796041,2.228956229,hsa-miR-424-5p, hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-101-3p, hsa-miR-132-3p, hsa-miR-195-5p,,,,,,,,
RUNX1 regulates transcription of genes involved in differentiation of HSCs,,0.0047437595,0.0172748935,1.7625846202,3.4479166667,hsa-miR-424-5p, hsa-miR-29b-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-101-3p, hsa-miR-195-5p,,,,,,,,,,,,
G alpha (i) signalling events,,0.0048025824,0.0174453805,1.7583195538,2.4160583942,hsa-miR-424-5p, hsa-miR-30c-5p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-101-3p, hsa-miR-132-3p, hsa-miR-195-5p,,,,,,,,,
Biosynthesis of DPA-derived SPMs,,0.0051058861,0.018183462,1.7403234269,7.880952381,hsa-miR-19a-3p, hsa-miR-16-5p, hsa-miR-101-3p,,,,,,,,,,,,,,,
Biosynthesis of DPAn-3 SPMs,,0.0051058861,0.018183462,1.7403234269,7.880952381,hsa-miR-19a-3p, hsa-miR-16-5p, hsa-miR-101-3p,,,,,,,,,,,,,,,
Mitotic Telophase/Cytokinesis,,0.0051058861,0.018183462,1.7403234269,7.880952381,hsa-miR-424-5p, hsa-miR-296-5p, hsa-miR-92a-3p,,,,,,,,,,,,,,,
Loss of Function of FBXW7 in Cancer and NOTCH1 Signaling,NOTCH,0.0051044811,0.018183462,1.7403234269,4.0864197531,hsa-miR-296-5p, hsa-miR-30c-5p, hsa-miR-92a-3p, hsa-miR-30b-5p, hsa-miR-101-3p,,,,,,,,,,,,,
TP53 Regulates Transcription of Genes Involved in G1 Cell Cycle Arrest,,0.0050621218,0.018183462,1.7403234269,2.3985507246,hsa-miR-424-5p, hsa-miR-30c-5p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-130b-3p, hsa-miR-376a-3p, hsa-miR-132-3p, hsa-miR-195-5p,,,,,,,,,
Signaling by FGFR2 IIIa TM,FGFR,0.0051058861,0.018183462,1.7403234269,7.880952381,hsa-miR-424-5p, hsa-miR-16-5p, hsa-miR-195-5p,,,,,,,,,,,,,,,
Transcriptional regulation by RUNX2,,0.0050315739,0.018183462,1.7403234269,1.811026936,hsa-miR-424-5p, hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-101-3p, hsa-miR-153-3p, hsa-miR-130b-3p, hsa-miR-132-3p, hsa-miR-195-5p,,,,,
FBXW7 Mutants and NOTCH1 in Cancer,NOTCH,0.0051044811,0.018183462,1.7403234269,4.0864197531,hsa-miR-296-5p, hsa-miR-30c-5p, hsa-miR-92a-3p, hsa-miR-30b-5p, hsa-miR-101-3p,,,,,,,,,,,,,
